GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache ZooKeeper - Server,org.apache.zookeeper.metrics,MetricsContext.DetailLevel,0,24,0,0,0,3,0,1,0,1
Apache ZooKeeper - Server,org.apache.zookeeper.metrics,MetricsProviderLifeCycleException,16,0,0,0,8,0,4,0,4,0
Apache ZooKeeper - Server,org.apache.zookeeper.metrics,CounterSet,5,0,0,0,2,0,1,0,1,0
Apache ZooKeeper - Server,org.apache.zookeeper.metrics,Counter,4,0,0,0,2,0,1,0,1,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,DigestAuthenticationProvider,305,0,24,0,62,0,26,0,14,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,EnsembleAuthenticationProvider,125,0,14,0,33,0,15,0,8,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,KerberosName,359,0,30,0,82,0,27,0,12,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,KerberosName.NoMatchingRule,4,0,0,0,2,0,1,0,1,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,AuthenticationProvider,2,0,0,0,1,0,1,0,1,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,IPAuthenticationProvider,226,0,32,0,62,0,25,0,9,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,ServerAuthenticationProvider,11,0,0,0,3,0,3,0,3,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,WrappedAuthenticationProvider,49,0,4,0,13,0,9,0,7,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,KeyAuthenticationProvider,124,0,10,0,35,0,14,0,9,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,SaslServerCallbackHandler,300,0,38,0,63,0,29,0,10,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,ServerAuthenticationProvider.MatchValues,33,0,0,0,12,0,6,0,6,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,ProviderRegistry,144,0,10,0,41,0,13,0,8,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,DigestLoginModule,41,0,2,0,12,0,7,0,6,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,SASLAuthenticationProvider,42,0,8,0,12,0,10,0,6,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,KerberosName.Rule,326,0,40,0,75,0,26,0,6,0
Apache ZooKeeper - Server,org.apache.zookeeper.server.auth,X509AuthenticationProvider,269,0,22,0,71,0,22,0,11,0
